epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2384.74,0.8655,0.53676,0.91928,0.85509,0.77379,0.84498,0.57242,0.80345,0.47468,0.90599,0.006535,0.006535,0.006535
44,2425.35,0.85462,0.52377,0.91633,0.87544,0.76802,0.84641,0.57268,0.79611,0.4704,0.91242,0.0064525,0.0064525,0.0064525
45,2465.67,0.85453,0.52704,0.91575,0.88085,0.75139,0.84207,0.56559,0.79188,0.4701,0.9025,0.00637,0.00637,0.00637
46,2505.88,0.84586,0.5203,0.91315,0.87272,0.76963,0.8599,0.5749,0.78743,0.46744,0.90265,0.0062875,0.0062875,0.0062875
47,2545.61,0.85809,0.52557,0.91541,0.88931,0.75496,0.8521,0.57766,0.78029,0.46757,0.90187,0.006205,0.006205,0.006205
48,2585.69,0.83948,0.51552,0.91035,0.87369,0.76251,0.85505,0.57792,0.77706,0.46366,0.89848,0.0061225,0.0061225,0.0061225
49,2626.16,0.84015,0.51723,0.91088,0.89145,0.77722,0.86236,0.58667,0.78212,0.4651,0.89828,0.00604,0.00604,0.00604
50,2666.23,0.84056,0.51663,0.91223,0.88092,0.76824,0.86655,0.58781,0.78032,0.46003,0.90191,0.0059575,0.0059575,0.0059575
51,2706.62,0.83099,0.51215,0.90889,0.87812,0.78241,0.85409,0.57994,0.77378,0.45741,0.90313,0.005875,0.005875,0.005875
52,2746.58,0.83043,0.50862,0.90955,0.84748,0.80722,0.85638,0.57914,0.77248,0.45278,0.90193,0.0057925,0.0057925,0.0057925
53,2787.02,0.82405,0.50281,0.9059,0.88569,0.78577,0.85412,0.58439,0.76547,0.45325,0.89836,0.00571,0.00571,0.00571
54,2826.94,0.82694,0.50576,0.90602,0.89731,0.78702,0.86697,0.5957,0.76249,0.44758,0.89804,0.0056275,0.0056275,0.0056275
55,2866.82,0.81696,0.50161,0.90375,0.88745,0.78837,0.86246,0.60209,0.75829,0.44643,0.89526,0.005545,0.005545,0.005545
56,2907.31,0.82112,0.50427,0.90751,0.90275,0.78358,0.86205,0.59639,0.75499,0.44809,0.89558,0.0054625,0.0054625,0.0054625
57,2947.66,0.81284,0.49466,0.90119,0.90526,0.78881,0.86362,0.59756,0.74854,0.44101,0.89294,0.00538,0.00538,0.00538
58,2988.03,0.81456,0.49773,0.9028,0.90995,0.7836,0.86156,0.59575,0.75488,0.44219,0.89419,0.0052975,0.0052975,0.0052975
59,3027.79,0.8148,0.49778,0.90344,0.9021,0.78612,0.86664,0.59934,0.75453,0.43956,0.89474,0.005215,0.005215,0.005215
60,3067.89,0.81147,0.49299,0.90247,0.92122,0.77897,0.87198,0.60468,0.75206,0.43929,0.89864,0.0051325,0.0051325,0.0051325
61,3108.37,0.80379,0.49011,0.89802,0.90382,0.79225,0.86106,0.60076,0.74799,0.43553,0.89046,0.00505,0.00505,0.00505
62,3148.71,0.80236,0.49086,0.90005,0.89467,0.8006,0.86455,0.60042,0.74521,0.43277,0.89096,0.0049675,0.0049675,0.0049675
63,3188.96,0.79477,0.48459,0.89639,0.88686,0.799,0.87548,0.60662,0.73542,0.43187,0.88765,0.004885,0.004885,0.004885
64,3229.59,0.79202,0.48324,0.89725,0.88517,0.80916,0.87456,0.60874,0.73205,0.43066,0.88566,0.0048025,0.0048025,0.0048025
65,3270.01,0.7855,0.47909,0.8919,0.91461,0.79879,0.87668,0.6078,0.7368,0.42884,0.88901,0.00472,0.00472,0.00472
66,3309.84,0.78752,0.48071,0.89298,0.90619,0.80075,0.87543,0.61119,0.73307,0.42807,0.88727,0.0046375,0.0046375,0.0046375
67,3349.69,0.78764,0.48,0.89513,0.91189,0.79167,0.87773,0.6196,0.73002,0.42455,0.88399,0.004555,0.004555,0.004555
68,3389.39,0.78637,0.47781,0.8938,0.8913,0.79837,0.88391,0.61959,0.73155,0.42631,0.88689,0.0044725,0.0044725,0.0044725
69,3429.42,0.78158,0.47559,0.89221,0.89281,0.80114,0.88022,0.61228,0.72367,0.42223,0.88437,0.00439,0.00439,0.00439
70,3469.48,0.77986,0.4743,0.89027,0.90144,0.80955,0.886,0.62084,0.72494,0.41958,0.8866,0.0043075,0.0043075,0.0043075
71,3510.1,0.77574,0.47272,0.89349,0.89023,0.81621,0.88389,0.61869,0.72435,0.42024,0.88533,0.004225,0.004225,0.004225
72,3550.58,0.76842,0.46799,0.88945,0.90778,0.7917,0.88479,0.62,0.72304,0.41993,0.88493,0.0041425,0.0041425,0.0041425
73,3590.85,0.77072,0.4683,0.89193,0.8832,0.81175,0.88379,0.62284,0.72058,0.42009,0.88224,0.00406,0.00406,0.00406
74,3630.92,0.76797,0.46626,0.88839,0.92024,0.79833,0.88162,0.62238,0.71452,0.41598,0.88186,0.0039775,0.0039775,0.0039775
75,3670.83,0.76841,0.46632,0.88966,0.90991,0.79878,0.88258,0.62655,0.71419,0.41765,0.88105,0.003895,0.003895,0.003895
76,3710.82,0.76123,0.46285,0.88501,0.90793,0.80453,0.88167,0.63071,0.71237,0.41661,0.88114,0.0038125,0.0038125,0.0038125
77,3750.56,0.7607,0.4605,0.88451,0.90575,0.81252,0.88359,0.62679,0.71201,0.41346,0.87977,0.00373,0.00373,0.00373
78,3790.44,0.75819,0.46025,0.8855,0.91449,0.81429,0.88291,0.6238,0.70836,0.40918,0.87935,0.0036475,0.0036475,0.0036475
79,3830.5,0.75201,0.45682,0.88353,0.91097,0.80704,0.88104,0.62624,0.70901,0.4111,0.87723,0.003565,0.003565,0.003565
80,3870.72,0.74858,0.45303,0.8836,0.91108,0.81127,0.88751,0.62703,0.7079,0.40813,0.87732,0.0034825,0.0034825,0.0034825
81,3910.59,0.74882,0.45236,0.88336,0.91059,0.81353,0.88284,0.62799,0.70871,0.40917,0.87669,0.0034,0.0034,0.0034
82,3950.39,0.74923,0.45358,0.88348,0.91603,0.80463,0.88507,0.63107,0.70381,0.40692,0.87673,0.0033175,0.0033175,0.0033175
83,3990.51,0.74229,0.45201,0.88077,0.89919,0.83318,0.88671,0.63202,0.70387,0.40629,0.87692,0.003235,0.003235,0.003235
84,4030.33,0.73685,0.44776,0.87882,0.90507,0.81477,0.88585,0.62964,0.70391,0.40571,0.87851,0.0031525,0.0031525,0.0031525
85,4070.56,0.73808,0.44699,0.87978,0.89825,0.8222,0.88778,0.63314,0.69977,0.40331,0.87752,0.00307,0.00307,0.00307
86,4111.06,0.73891,0.44707,0.88023,0.90164,0.82299,0.88927,0.63277,0.70038,0.4055,0.87592,0.0029875,0.0029875,0.0029875
87,4151.37,0.73037,0.44013,0.87631,0.90766,0.80338,0.88583,0.6344,0.69848,0.40425,0.87304,0.002905,0.002905,0.002905
88,4191.86,0.73541,0.44377,0.87955,0.92377,0.79556,0.88714,0.63423,0.69611,0.40481,0.87113,0.0028225,0.0028225,0.0028225
89,4231.77,0.73042,0.44153,0.87826,0.91054,0.80213,0.88641,0.63547,0.69598,0.40216,0.87212,0.00274,0.00274,0.00274
90,4271.83,0.72346,0.4375,0.87588,0.87876,0.82568,0.88471,0.6347,0.69323,0.39997,0.87218,0.0026575,0.0026575,0.0026575
91,4312.31,0.72436,0.43894,0.87784,0.90825,0.81495,0.88594,0.63628,0.69402,0.40072,0.87219,0.002575,0.002575,0.002575
92,4352.75,0.72226,0.43513,0.87678,0.91541,0.81231,0.88472,0.63336,0.69374,0.40075,0.87198,0.0024925,0.0024925,0.0024925
93,4393.24,0.71901,0.4356,0.8763,0.92259,0.80708,0.88882,0.63707,0.69277,0.40012,0.87264,0.00241,0.00241,0.00241
94,4433.25,0.71864,0.43329,0.87334,0.92606,0.8044,0.89074,0.63531,0.69011,0.40007,0.87202,0.0023275,0.0023275,0.0023275
95,4473.38,0.71665,0.4329,0.87392,0.93302,0.81016,0.89278,0.63843,0.68953,0.39937,0.87163,0.002245,0.002245,0.002245
96,4513.26,0.70789,0.42897,0.87207,0.93254,0.80377,0.89219,0.63836,0.68805,0.39912,0.8702,0.0021625,0.0021625,0.0021625
97,4553.66,0.70891,0.42786,0.87079,0.92024,0.8088,0.89263,0.63947,0.68574,0.39743,0.86884,0.00208,0.00208,0.00208
98,4593.78,0.70797,0.42737,0.87097,0.92,0.81235,0.89236,0.64064,0.68586,0.39753,0.8681,0.0019975,0.0019975,0.0019975
99,4634,0.70571,0.42725,0.87093,0.91168,0.81318,0.89361,0.64329,0.6853,0.39746,0.86792,0.001915,0.001915,0.001915
100,4673.97,0.69958,0.42211,0.86997,0.9191,0.80364,0.89327,0.64351,0.68377,0.39572,0.86774,0.0018325,0.0018325,0.0018325
101,4714.84,0.70321,0.42239,0.87043,0.93504,0.79316,0.894,0.6435,0.68318,0.39506,0.86804,0.00175,0.00175,0.00175
102,4755.3,0.69613,0.41923,0.86811,0.89573,0.82421,0.89541,0.64536,0.68102,0.39589,0.86813,0.0016675,0.0016675,0.0016675
103,4795.96,0.69428,0.41806,0.86781,0.8869,0.83096,0.89173,0.64215,0.68001,0.39535,0.86825,0.001585,0.001585,0.001585
104,4836.72,0.69335,0.41837,0.86852,0.89464,0.82876,0.89278,0.64438,0.68061,0.39418,0.86862,0.0015025,0.0015025,0.0015025
105,4876.88,0.68918,0.41711,0.868,0.90015,0.82745,0.89377,0.64405,0.68035,0.39369,0.86854,0.00142,0.00142,0.00142
106,4916.9,0.68707,0.4121,0.8665,0.89269,0.83771,0.89833,0.64456,0.68024,0.39323,0.86887,0.0013375,0.0013375,0.0013375
107,4957.24,0.68322,0.41114,0.86501,0.89374,0.83677,0.90007,0.64515,0.68023,0.39378,0.86799,0.001255,0.001255,0.001255
108,4997.55,0.68262,0.41212,0.86339,0.88844,0.84593,0.90196,0.64664,0.67943,0.39204,0.86763,0.0011725,0.0011725,0.0011725
109,5037.71,0.67809,0.40809,0.86422,0.88781,0.84554,0.89874,0.64719,0.67902,0.39115,0.8674,0.00109,0.00109,0.00109
110,5077.99,0.67972,0.40911,0.86303,0.89495,0.83422,0.89714,0.64769,0.67885,0.39131,0.86713,0.0010075,0.0010075,0.0010075
111,5118.3,0.66067,0.39075,0.85432,0.88647,0.83595,0.89336,0.64125,0.68029,0.39123,0.86732,0.000925,0.000925,0.000925
112,5158.31,0.64293,0.38315,0.84973,0.90197,0.83299,0.90005,0.6426,0.68013,0.39139,0.8671,0.0008425,0.0008425,0.0008425
113,5198.07,0.63582,0.37709,0.85007,0.89872,0.83138,0.89824,0.6431,0.67975,0.39086,0.86649,0.00076,0.00076,0.00076
114,5237.26,0.63026,0.37325,0.84823,0.90294,0.82815,0.89779,0.64614,0.67932,0.39121,0.86657,0.0006775,0.0006775,0.0006775
115,5276.63,0.62758,0.37296,0.84759,0.90233,0.81992,0.89804,0.64603,0.67815,0.39065,0.86615,0.000595,0.000595,0.000595
116,5316.79,0.62383,0.37075,0.84537,0.90924,0.81555,0.8961,0.64627,0.67821,0.3906,0.86563,0.0005125,0.0005125,0.0005125
117,5356.44,0.62056,0.36903,0.84449,0.91654,0.81034,0.89547,0.64675,0.67842,0.39034,0.86524,0.00043,0.00043,0.00043
118,5396.02,0.6162,0.36684,0.84454,0.90849,0.81211,0.89724,0.64743,0.67821,0.38968,0.86535,0.0003475,0.0003475,0.0003475
119,5435.02,0.61484,0.3667,0.84437,0.91152,0.81109,0.89728,0.6471,0.67782,0.38979,0.86507,0.000265,0.000265,0.000265
120,5474.29,0.61076,0.36503,0.84219,0.9139,0.81112,0.89533,0.64648,0.67773,0.38961,0.86486,0.0001825,0.0001825,0.0001825
